1840035	1441448
1840036	10120869
1840037	4014186
1840202	135918599
1840203	35610944
1852586	9369789
1852587	23063979
1857473	3801946
1857507	1713980
1857526	568777
1857539	344182
1857552	882188
1857598	1501193
1857623	2993405
1857645	4348883
1857656	3461046
1857659	662631
1857661	3880006
1857664	2402414
1857670	4027661
1857672	6248197
1857673	21790075
1857674	29207348
1857676	5558487
1857677	45082232
1857682	9778651
1857685	9491276
1857689	114864
1857690	11597754
1857694	23294180
1857697	2786101
1857700	12408502
1857701	12900099
1857702	28427415
1857709	31373640
1857710	9644151
1857717	2088593
1857719	11540897
1857721	3088460
1857722	3707718
1857723	150148889
1857725	11336046
1857729	4356008
1857730	3071087
1857732	42558669
1857734	27146405
1857736	6447314
1857741	2294195
1857751	14018832
1857763	18366698
1857765	6871688
1857767	2284811
1857770	6229577
1857771	36785055
1857772	5140942
1857776	5876164
1857780	11174221
1857782	727860
1857785	11477509
1857787	48068803
1857795	4721042
1857796	37548617
1857797	19359287
1857799	11899358
1857804	1874019
1857806	33496907
1857807	30799007
1857813	4440405
1857814	6135836
1857824	4599662
1857825	25666140
1857826	36747769
1857832	3261948
1857838	2596136
1857844	22594888
1857845	3941723
1857847	669438
1857848	74383649
1857859	3988251
1857866	5759149
1857911	372913
1857923	488445
1857928	17019668
1857940	7860023
1857945	1516819
1857946	7101161
1857963	27849625
1857979	12731790
1857980	9557620
1857981	27737078
1857982	4578464
1857985	10968258
1857988	4539507
1857992	1325557
1857995	490972
1857997	57058284
1857999	28842912
1858001	4195878
1858003	2635408
1858004	14752158
1858008	8797075
1858009	22314937
1858012	17272315
1858014	5203415
1858015	5742668
1858016	36036681
1858017	8998775
1858018	14335845
1858019	30358604
1858025	7136411
1858026	8960179
1858031	6833328
1858034	7250346
1858038	24393059
1858048	4904795
1858051	762521
1858059	51969089
1858060	922935
1858062	2624209
1858074	3847971
1858076	3513023
1858083	6255802
1858085	1488052
1858086	8639600
1858093	9974900
1858094	3508831
1858095	5272133
1858107	8905215
1858109	24881634
1858112	17926164
1858113	3195396
1858116	311509
1858121	51184991
1858123	1797467
1858125	4374762
1858128	38908784
1858131	14849690
1858132	22026497
1858136	8169954
1858137	26620003
1858139	769605
1858141	20905328
1858144	10978541
1858145	69854561
1858147	12955989
1858148	33976090
1858152	19606192
1858153	11364015
1858155	777238
1858156	749687
1858157	6015876
1858158	13904462
1858159	2528997
1858162	20047266
1858167	19974891
1858173	66172302
1858178	4229667
1858189	3467086
1858196	3073284
1858208	3720960
1858249	3426911
1858254	21317617
1858255	6226372
1858258	3423784
1858263	47228557
1858264	9075782
1858267	9232063
1858275	4184429
1858279	7335838
1858286	6048323
1858287	5448399
1858340	3457453
1858345	2894903
1858346	33703783
1858349	18081503
1858352	36311782
1858353	10469791
1858355	4987496
1858363	7501776
1858370	9146074
1858371	25076861
1858373	12054997
1858376	5072412
1858378	15907950
1858381	6891051
1858382	8541070
1858384	4402242
1858390	4715173
1858393	17748294
1858394	11584387
1858399	20244364
1858401	6827993
1858407	5628773
1858410	94982748
1858415	69543523
1858417	2205807
1858424	4345889
1858428	4815827
1858437	12070128
1858438	26639214
1858440	3415803
1858441	2079983
1858444	13098825
1858448	8995870
1858449	2967993
1858452	2148428
1858453	5336057
1858459	671010
1858461	32314767
1858462	1313577
1858463	1693501
1858470	17428030
1858472	5313141
1858477	32017554
1858480	7092686
1858485	33399111
1858499	4075159
1858502	12901790
1858503	30794424
1858511	7974584
1858512	20072094
1858518	4602215
1858521	2098630
1858524	1786292
1858530	33393650
1858532	5020125
1858534	6575623
1858536	11307749
1858538	30687120
1858539	29202652
1858541	9811359
1858549	14788017
1858550	1405174
1858551	4678181
1858558	2162221
1858608	3857482
1858618	13897093
1858619	2444669
1858622	3512936
1858639	1195806
1858645	3091185
1858647	38702524
1858648	18464319
1858650	14812466
1858653	10589971
1858654	7067695
1858659	10604628
1858661	1622667
1858664	38487624
1858670	76130045
1858673	9455769
1858678	7415841
1858679	5091624
1858681	3353000
1858685	5357418
1858686	11814467
1858688	36868858
1858690	3381017
1858695	1916156
1858700	33544795
1858702	611660
1858705	30218095
1858714	3177208
1858715	3940416
1858719	3095528
1858722	8489240
1858723	4304760
1858727	636526
1858729	1506435
1858731	23503847
1858734	47689156
1858737	43041114
1858738	35076424
1858739	58227
1858755	16664202
1858758	27389213
1858764	9274957
1858766	9448395
1858767	10223433
1858770	6021775
1858774	73122113
1858776	10491195
1858777	25063540
1858780	22367082
1858787	40727267
1858789	7354165
1858790	30935912
1858796	17345095
1858797	13072914
1858798	565443151
1858800	29188325
1858802	58158326
1858803	31437791
1858804	2390597
1858808	10680131
1858811	8090748
1858834	13341504
1858842	1655736
1858846	94082
1858878	25496333
1858879	8165740
1858883	1148383
1858884	12033914
1858892	3085713
1858893	11308026
1858894	104661056
1858895	2335199
1858903	23650831
1858908	13955306
1858909	19300441
1858913	8379315
1858920	5040136
1858923	25555801
1858924	1676524
1858925	17880186
1858931	10064486
1858934	7123070
1858937	72466679
1858940	11591432
1858941	16928848
1858943	2439601
1858946	23903602
1858947	1262514
1858949	12209020
1858954	17136468
1858955	3728795
1858956	2216332
1858960	227452
1858963	13642487
1858978	10486152
1858980	5057721
1858983	19154706
1859007	490162
1859008	10252576
1859017	40774730
1859023	8178427
1859024	9438065
1859027	33802600
1859028	17398715
1859037	487566
1859039	5947091
1859040	12467735
1859048	9250176
1859053	6169236
1859057	22998097
1859059	778894
1859062	11633761
1859064	1357569
1859067	21154456
1859072	8039282
1859073	7305884
1859074	2249552
1859075	12474397
1859084	3911088
1859085	3094428
1859098	20335688
1859104	22437875
1859108	25238128
1859109	15164478
1859121	4529448
1859125	3388749
1859129	41018449
1859131	37386253
1859136	6356761
1859138	8181435
1859141	7774972
1859154	6246542
1859157	5202596
1859162	12501437
1859163	10890793
1859164	13773371
1859166	6411343
1859171	109583438
1859172	19427673
1859175	42733635
1859180	906874
1859182	36260497
1859185	9091281
1859193	715180
1859203	18444255
1859204	2229993
1859209	14615304
1859216	38370451
1859220	916077
1859305	20344726
1859309	2983774
1859310	1442201
1859311	3424628
1859318	1563679
1859335	28332184
1859337	18194928
1859339	4423723
1859343	7390655
1859346	3213406
1859349	13957860
1859351	1944840
1859359	8740671
1859360	9694854
1859365	6797056
1859373	7478593
1859374	10130497
1859376	8686827
1859386	3351398
1859387	12221627
1859399	14132638
1859402	13227991
1859404	8932377
1859405	16229898
1859408	4953911
1859410	4562926
1859412	953556
1859414	22266968
1859415	303473
1859424	13788107
1859426	7818727
1859429	15055265
1859430	10686583
1859431	58587856
1859433	5226689
1859435	3960484
1859438	8822386
1859446	9160202
1859448	11615613
1859449	17902449
1859457	20749449
1859467	24979744
1859468	26503551
1859469	3767710
1859473	31087235
1859475	1523201
1859477	22662534
1859478	7411320
1859479	8649144
1859480	7766559
1859485	7126750
1859486	8751953
1859488	20214841
1859490	3939010
1859492	10100826
1859499	4065379
1859508	3468202
1859567	16155890
1859573	8168540
1859577	11617015
1859607	18589504
1859609	4592907
1859614	18202745
1859617	67301901
1859619	21783858
1859626	1279874
1859630	47879556
1859634	65856894
1859637	3646699
1859642	16259994
1859647	9087957
1859648	1223155
1859649	2444861
1859655	3369134
1859658	4539233
1859660	5304098
1859673	1339086
1859684	5301766
1859686	22885448
1859688	4501368
1859696	6142428
1859699	5116622
1859703	1216419
1859704	5659162
1859708	10597257
1859711	4170203
1859722	408587
1859723	10919000
1859727	6557400
1859729	1222584
1859732	19252428
1859733	5225437
1859740	16148578
1859770	3092000
1859775	500440
1859791	4796279
1859803	798757
