429	182	41044
11	136	33762
15	139	27319
38	142	17880
10	135	16479
8	133	15232
60	129	14796
129	129	12729
72	129	12252
21	145	11839
18	142	8929
13	137	8748
5	130	8412
193	129	8033
32	152	7744
49	156	7367
16	140	7346
50	164	7264
62	157	6972
122	140	6909
52	162	6871
336	136	6280
14	138	6237
25	148	6160
47	163	5618
1	128	5328
140	139	5274
45	161	5032
30	150	4863
67	160	4618
2	129	4241
54	162	4237
313	139	4063
22	146	4029
147	145	3994
34	153	3945
35	145	3913
334	135	3900
257	129	3872
46	162	3866
9	134	3345
36	154	3299
43	160	3247
68	131	3243
112	139	3182
37	155	3178
140	138	3126
4	129	3044
192	129	2992
71	137	2639
41	157	2602
130	136	2597
268	166	2561
154	139	2543
75	131	2538
99	144	2438
220	140	2381
141	179	2332
51	165	2312
53	164	2216
56	145	2167
93	170	2097
318	133	1936
63	139	1911
74	137	1878
189	145	1864
17	141	1829
199	130	1796
266	177	1703
194	148	1663
346	148	1641
57	142	1632
452	135	1580
320	129	1558
102	149	1500
337	129	1476
20	152	1437
23	158	1425
7	132	1340
179	155	1287
244	174	1277
271	145	1271
343	161	1242
348	158	1238
201	158	1226
350	136	1222
234	156	1221
24	139	1207
6	131	1202
66	139	1196
250	148	1196
263	142	1194
39	156	1184
31	151	1148
20	144	1131
19	143	1130
110	165	1120
353	158	1102
370	155	1004
272	140	900
76	168	861
312	139	848
333	140	844
347	135	843
108	146	821
578	139	786
121	131	767
156	151	762
180	176	732
69	154	725
185	139	723
305	134	722
391	129	718
692	166	673
344	161	666
433	136	656
356	139	654
12	136	643
260	129	589
26	149	562
31	152	551
81	164	541
70	167	538
373	129	538
92	162	537
434	129	533
23	147	522
360	133	522
55	130	519
137	145	507
221	128	492
97	173	491
366	136	478
459	136	477
319	129	475
349	129	446
354	160	434
90	160	429
330	135	428
513	192	426
241	134	421
230	133	410
113	175	404
73	129	402
3	129	402
394	129	392
435	150	388
172	145	373
584	139	372
42	159	369
222	131	366
338	135	355
363	133	351
80	140	340
460	129	332
259	154	329
335	139	327
365	182	326
342	130	323
355	136	319
368	136	309
359	155	290
