1985	0	49748
1986	0	42996
1987	0	47294
1988	0	47898
1989	0	48032
1990	0	52000
1991	0	53491
1992	0	51737
1993	0	51404
1994	0	53435
1995	0	54739
1996	0	65224
1997	0	70243
1998	0	71904
1999	0	80081
2000	17237107763	83500
2001	18033466100	81265
2002	19945494724	83423
2003	20072789412	61612
2004	22267088687	78778
2005	23609859103	82209
2006	23659445555	81670
2007	30244735014	88886
2008	30255282716	87922
2009	42055522358	98937
2010	42578538727	93948
2011	36619446419	83781
2012	36043562341	78778
2013	34445704218	76352
2014	114618149	222
