1985	49748
1986	42996
1987	47294
1988	47898
1989	48032
1990	52000
1991	53491
1992	51737
1993	51404
1994	53435
1995	54739
1996	65224
1997	70243
1998	71904
1999	80081
2000	83500
2001	81265
2002	83423
2003	61612
2004	78778
2005	82209
2006	81670
2007	88886
2008	87922
2009	98937
2010	93948
2011	83781
2012	78778
2013	76352
2014	222
